utt_id	speaker	audio_path	text
Dung_clean_0000	Dung	dataset/Dung/clean/Recording (1).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0001	Dung	dataset/Dung/clean/Recording (2).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0002	Dung	dataset/Dung/clean/Recording (3).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0003	Dung	dataset/Dung/clean/Recording (4).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0004	Dung	dataset/Dung/clean/Recording (5).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0005	Dung	dataset/Dung/clean/Recording (6).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0006	Dung	dataset/Dung/clean/Recording (7).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0007	Dung	dataset/Dung/clean/Recording (8).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0008	Dung	dataset/Dung/clean/Recording (9).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0009	Dung	dataset/Dung/clean/Recording (10).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0010	Dung	dataset/Dung/clean/Recording (11).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0011	Dung	dataset/Dung/clean/Recording (12).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0012	Dung	dataset/Dung/clean/Recording (13).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0013	Dung	dataset/Dung/clean/Recording (14).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0014	Dung	dataset/Dung/clean/Recording (15).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0015	Dung	dataset/Dung/clean/Recording (16).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0016	Dung	dataset/Dung/clean/Recording (17).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0017	Dung	dataset/Dung/clean/Recording (18).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0018	Dung	dataset/Dung/clean/Recording (19).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0019	Dung	dataset/Dung/clean/Recording (20).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0020	Dung	dataset/Dung/clean/Recording (21).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0021	Dung	dataset/Dung/clean/Recording (22).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0022	Dung	dataset/Dung/clean/Recording (23).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0023	Dung	dataset/Dung/clean/Recording (24).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0024	Dung	dataset/Dung/clean/Recording (25).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0025	Dung	dataset/Dung/clean/Recording (26).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0026	Dung	dataset/Dung/clean/Recording (27).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0027	Dung	dataset/Dung/clean/Recording (28).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0028	Dung	dataset/Dung/clean/Recording (29).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0029	Dung	dataset/Dung/clean/Recording (30).wav	hôm nay tôi kiểm tra hệ thống nhận dạng tiếng nói bằng dữ liệu thử nghiệm và ghi âm trong phòng yên tĩnh vào lúc tám giờ ba mươi phút
Dung_clean_0030	Dung	dataset/Dung/clean/Recording (31).wav	tôi ghi âm dữ liệu thử nghiệm vào lúc tám giờ ba mươi phút trong phòng yên tĩnh để kiểm tra hệ thống nhận dạng tiếng nói hôm nay
Dung_clean_0031	Dung	dataset/Dung/clean/Recording (32).wav	tôi ghi âm dữ liệu thử nghiệm vào lúc tám giờ ba mươi phút trong phòng yên tĩnh để kiểm tra hệ thống nhận dạng tiếng nói hôm nay
Dung_clean_0032	Dung	dataset/Dung/clean/Recording (33).wav	tôi ghi âm dữ liệu thử nghiệm vào lúc tám giờ ba mươi phút trong phòng yên tĩnh để kiểm tra hệ thống nhận dạng tiếng nói hôm nay
